# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[61.29, 61.56, 60.95, 59.78, 58.72, 58.43, 59.08, 60.28] | 2 | 180
[61.08, 62.84, 63.01, 61.53, 59.10, 57.20, 57.01, 58.63] | 2 | 180
[58.70, 62.37, 64.48, 64.25, 61.70, 57.98, 55.57, 55.85] | 2 | 180
[55.07, 59.31, 64.05, 66.09, 65.25, 61.37, 56.48, 53.96] | 2 | 180
[52.53, 54.72, 60.48, 65.98, 67.54, 65.98, 60.48, 54.72] | 2 | 180
[52.86, 51.39, 54.88, 62.20, 67.95, 68.83, 66.34, 59.01] | 2 | 180
[57.09, 51.08, 50.57, 55.53, 64.47, 69.74, 69.98, 66.15] | 2 | 180
[65.17, 54.95, 49.58, 50.10, 56.64, 67.16, 71.24, 71.05] | 2 | 180
[71.97, 63.23, 52.80, 48.53, 50.09, 58.21, 70.00, 72.44] | 2 | 180
[73.50, 72.55, 60.44, 50.68, 47.89, 50.68, 60.44, 72.55] | 2 | 180
[74.48, 74.58, 72.41, 57.27, 48.68, 47.40, 51.78, 63.63] | 2 | 180
[67.76, 75.80, 75.73, 71.15, 54.50, 47.10, 46.85, 52.94] | 2 | 180
[53.89, 72.07, 76.74, 76.84, 68.33, 52.54, 46.45, 46.57] | 2 | 180
[47.25, 55.13, 75.71, 77.52, 77.72, 63.79, 50.95, 46.85] | 2 | 180
[47.47, 49.03, 58.12, 78.12, 78.36, 78.12, 58.12, 49.03] | 2 | 180
[46.80, 47.31, 50.87, 63.59, 79.50, 79.30, 77.63, 53.03] | 2 | 180
[51.25, 45.43, 45.85, 50.82, 70.64, 80.25, 80.35, 75.25] | 2 | 180
[70.80, 50.71, 46.69, 45.63, 49.17, 76.39, 81.00, 81.08] | 2 | 180
[81.52, 63.24, 51.31, 48.57, 46.66, 49.34, 79.89, 81.73] | 2 | 180
[81.26, 85.82, 36.34, 58.83, 68.64, 58.83, 36.34, 85.82] | 2 | 180
[81.09, 84.05, 81.24, 69.59, 25.31, 53.60, 59.73, 50.95] | 2 | 180
[76.76, 82.90, 82.89, 72.88, 54.39, 43.43, 40.70, 51.39] | 2 | 180
[68.39, 79.41, 83.54, 78.01, 65.33, 44.87, 37.09, 47.18] | 2 | 180
[41.59, 78.19, 81.76, 82.05, 72.50, 45.90, 52.38, 50.08] | 2 | 180
[50.41, 59.09, 81.27, 81.90, 80.55, 52.27, 47.88, 48.68] | 2 | 180
[45.90, 50.08, 78.09, 80.80, 80.84, 66.51, 51.23, 47.32] | 2 | 180
[46.23, 52.36, 69.29, 77.57, 77.48, 72.35, 53.17, 46.21] | 2 | 180
[49.70, 53.77, 62.92, 70.15, 70.82, 68.21, 58.56, 51.24] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[70.82, 68.21, 58.56, 51.24, 49.70, 53.77, 62.92, 70.15] | 2 | 180
[77.48, 72.35, 53.17, 46.21, 46.23, 52.36, 69.29, 77.57] | 2 | 180
[80.84, 66.51, 51.23, 47.32, 45.90, 50.08, 78.09, 80.80] | 2 | 180
[80.55, 52.27, 47.88, 48.68, 50.41, 59.09, 81.27, 81.90] | 2 | 180
[72.50, 45.90, 52.38, 50.08, 41.59, 78.19, 81.76, 82.05] | 2 | 180
[65.33, 44.87, 37.09, 47.18, 68.39, 79.41, 83.54, 78.01] | 2 | 180
[54.39, 43.43, 40.70, 51.39, 76.76, 82.90, 82.89, 72.88] | 2 | 180
[25.31, 53.60, 59.73, 50.95, 81.09, 84.05, 81.24, 69.59] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
