# angles | wait | zero
[32.73, 19.46, 55.87, 90.00, 89.07, 87.89, 89.96, 72.85] | 2 | 180
[32.73, 72.85, 89.96, 87.89, 89.07, 90.00, 55.87, 19.46] | 2 | 180
[51.44, 50.31, 46.39, 83.51, 87.79, 83.72, 54.57, 52.80] | 2 | 180
[24.72, 87.89, 73.99, 87.10, 86.05, 85.19, 47.01, 38.16] | 2 | 180
[24.72, 38.16, 47.01, 85.19, 86.05, 87.10, 73.99, 87.89] | 2 | 180
[85.85, 86.66, 9.67, 82.17, 85.37, 85.58, 86.22, 7.21] | 2 | 180
[85.85, 7.21, 86.22, 85.58, 85.37, 82.17, 9.67, 86.66] | 2 | 180
[49.09, 47.17, 48.85, 58.10, 77.98, 78.44, 78.08, 58.66] | 2 | 180
[49.09, 58.66, 78.08, 78.44, 77.98, 58.10, 48.85, 47.17] | 2 | 180
[52.15, 66.28, 76.28, 76.15, 72.79, 55.00, 47.17, 46.75] | 2 | 180
[52.15, 46.75, 47.17, 55.00, 72.79, 76.15, 76.28, 66.28] | 2 | 180
[68.64, 53.70, 47.14, 47.23, 54.21, 69.64, 75.22, 75.24] | 2 | 180
[75.19, 57.76, 48.58, 47.05, 50.34, 61.54, 76.16, 76.25] | 2 | 180
[71.63, 70.58, 61.43, 52.29, 49.03, 51.44, 59.91, 69.96] | 2 | 180
[75.83, 75.86, 68.95, 53.37, 46.83, 46.91, 53.94, 70.24] | 2 | 180
[79.91, 79.94, 68.21, 51.35, 46.17, 45.56, 51.70, 76.17] | 2 | 180
[81.84, 81.25, 55.75, 49.90, 49.61, 49.11, 53.58, 81.06] | 2 | 180
[82.85, 74.30, 52.10, 39.95, 39.55, 57.91, 76.07, 83.85] | 2 | 180
[81.84, 81.25, 55.75, 49.90, 49.61, 49.11, 53.58, 81.06] | 2 | 180
[79.91, 79.94, 68.21, 51.35, 46.17, 45.56, 51.70, 76.17] | 2 | 180
[75.83, 75.86, 68.95, 53.37, 46.83, 46.91, 53.94, 70.24] | 2 | 180
[71.63, 70.58, 61.43, 52.29, 49.03, 51.44, 59.91, 69.96] | 2 | 180
[73.21, 64.48, 52.86, 47.99, 49.08, 57.07, 70.44, 73.39] | 2 | 180
[77.92, 60.57, 49.82, 47.06, 48.21, 56.92, 77.18, 78.02] | 2 | 180
[81.08, 67.01, 51.23, 47.04, 45.68, 50.00, 78.18, 81.17] | 2 | 180
[82.77, 76.92, 51.17, 44.92, 45.13, 48.92, 72.56, 82.08] | 2 | 180
[85.54, 88.94, 9.23, 79.21, 17.47, 87.99, 74.55, 87.33] | 2 | 180
[85.54, 87.33, 74.55, 87.99, 17.47, 79.20, 9.24, 88.94] | 2 | 180
[85.11, 84.68, 59.41, 20.26, 89.63, 64.52, 36.01, 85.70] | 2 | 180
[87.45, 85.74, 75.52, 7.40, 88.80, 84.36, 14.97, 86.78] | 2 | 180
[88.46, 84.48, 67.54, 54.42, 49.98, 46.45, 38.84, 84.10] | 2 | 180
[88.97, 83.58, 46.41, 58.11, 39.46, 61.53, 50.96, 83.57] | 2 | 180
[88.97, 85.61, 35.67, 44.00, 48.42, 54.72, 79.12, 85.26] | 2 | 180
[88.72, 85.84, 71.24, 21.27, 3.36, 89.99, 81.09, 87.49] | 2 | 180
[87.15, 86.47, 40.53, 49.94, 16.52, 88.59, 73.63, 87.13] | 2 | 180
[86.41, 78.92, 58.60, 74.26, 39.55, 3.34, 84.68, 83.11] | 2 | 180
[85.54, 88.94, 9.23, 79.21, 17.47, 87.99, 74.55, 87.33] | 2 | 180
