# angles | wait | zero
[76.03, 75.55, 59.62, 49.52, 47.13, 49.52, 59.62, 75.55] | 2 | 180
[74.62, 76.07, 76.07, 62.54, 50.79, 47.03, 48.29, 57.16] | 2 | 180
[55.30, 73.18, 76.15, 76.29, 65.65, 51.93, 46.79, 47.31] | 2 | 180
[46.75, 53.97, 71.17, 76.25, 76.33, 68.61, 52.93, 46.62] | 2 | 180
[46.75, 46.62, 52.93, 68.61, 76.33, 76.25, 71.17, 53.97] | 2 | 180
[55.30, 47.31, 46.79, 51.93, 65.65, 76.29, 76.15, 73.18] | 2 | 180
[74.62, 57.16, 48.29, 47.03, 50.79, 62.54, 76.07, 76.07] | 2 | 180
[76.03, 75.55, 59.62, 49.52, 47.13, 49.52, 59.62, 75.55] | 2 | 180
