# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[53.10, 52.97, 52.66, 55.29, 77.35, 88.02, 64.08, 54.06] | 2 | 180
[77.35, 88.02, 64.08, 54.06, 53.10, 52.97, 52.66, 55.29] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[53.04, 55.58, 68.64, 85.13, 68.64, 55.58, 53.04, 52.83] | 2 | 180
[68.64, 85.13, 68.64, 55.58, 53.04, 52.83, 53.04, 55.58] | 2 | 180
[68.64, 55.58, 53.04, 52.83, 53.04, 55.58, 68.64, 85.13] | 2 | 180
[53.04, 55.58, 68.64, 85.13, 68.64, 55.58, 53.04, 52.83] | 2 | 180
