# angles | wait | zero
[84.56, 90.00, 5.45, 90.00, 84.56, 90.00, 5.45, 90.00] | 2 | 180
[90.00, 84.46, 90.00, 5.55, 90.00, 84.46, 90.00, 5.55] | 2 | 180
[5.45, 90.00, 84.56, 90.00, 5.45, 90.00, 84.56, 90.00] | 2 | 180
[90.00, 5.55, 90.00, 84.46, 90.00, 5.55, 90.00, 84.46] | 2 | 180
[84.56, 90.00, 5.45, 90.00, 84.56, 90.00, 5.45, 90.00] | 2 | 180
[90.00, 84.46, 90.00, 5.55, 90.00, 84.46, 90.00, 5.55] | 2 | 180
[5.45, 90.00, 84.56, 90.00, 5.45, 90.00, 84.56, 90.00] | 2 | 180
[90.00, 5.55, 90.00, 84.46, 90.00, 5.55, 90.00, 84.46] | 2 | 180
[84.56, 90.00, 5.45, 90.00, 84.56, 90.00, 5.45, 90.00] | 2 | 180
