# angles | wait | zero
[84.94, 64.31, 38.25, 64.33, 84.90, 64.30, 38.32, 64.27] | 2 | 180
[82.21, 63.96, 38.53, 61.36, 88.43, 61.51, 38.17, 64.16] | 2 | 180
[90.00, 54.10, 48.12, 62.86, 86.68, 66.72, 38.50, 61.30] | 2 | 180
[80.61, 73.22, 23.77, 70.88, 86.04, 63.68, 48.64, 56.34] | 2 | 180
[60.91, 73.36, 40.12, 66.72, 87.27, 69.88, 26.34, 82.44] | 2 | 180
[61.85, 48.14, 30.58, 87.70, 78.79, 55.50, 65.27, 76.35] | 2 | 180
[43.16, 43.99, 78.99, 82.10, 63.97, 87.08, 58.59, 49.13] | 2 | 180
[40.59, 60.33, 88.37, 67.56, 78.01, 79.64, 52.98, 39.59] | 2 | 180
[46.10, 65.99, 86.60, 64.30, 85.23, 68.45, 47.73, 41.11] | 2 | 180
[51.97, 76.59, 80.13, 66.16, 88.78, 60.74, 41.75, 40.51] | 2 | 180
[53.96, 85.60, 73.40, 70.88, 88.22, 53.78, 41.69, 42.05] | 2 | 180
[60.37, 88.19, 67.89, 77.56, 80.27, 53.15, 39.35, 40.38] | 2 | 180
[65.52, 86.85, 64.34, 84.93, 68.97, 48.05, 41.10, 45.78] | 2 | 180
[76.01, 80.52, 65.95, 88.75, 60.97, 41.99, 40.61, 51.73] | 2 | 180
[85.06, 73.79, 70.55, 88.39, 54.27, 41.31, 41.73, 54.29] | 2 | 180
[87.98, 68.23, 77.11, 80.89, 53.31, 39.10, 40.18, 60.44] | 2 | 180
[87.02, 64.44, 84.56, 69.57, 48.37, 41.01, 45.37, 65.19] | 2 | 180
[80.89, 65.75, 88.69, 61.25, 42.23, 40.68, 51.48, 75.45] | 2 | 180
[74.15, 70.27, 88.44, 54.92, 40.88, 41.30, 54.60, 84.57] | 2 | 180
[68.59, 76.66, 81.50, 53.46, 38.84, 40.00, 60.53, 87.75] | 2 | 180
[64.67, 83.66, 70.75, 49.26, 40.94, 44.42, 64.33, 87.55] | 2 | 180
[76.53, 82.05, 49.70, 41.04, 47.89, 59.67, 72.60, 67.59] | 2 | 180
[82.66, 68.67, 48.87, 49.83, 55.81, 60.54, 61.22, 62.51] | 2 | 180
[69.15, 79.86, 56.80, 40.87, 44.99, 61.45, 75.93, 64.67] | 2 | 180
[63.54, 73.71, 62.53, 48.34, 40.78, 51.14, 79.04, 75.21] | 2 | 180
[85.15, 56.74, 41.62, 43.73, 54.89, 72.02, 74.54, 70.28] | 2 | 180
[61.30, 60.38, 44.27, 64.46, 54.57, 56.67, 64.93, 84.60] | 2 | 180
[79.36, 52.99, 41.93, 50.51, 63.73, 70.42, 60.29, 72.36] | 2 | 180
[75.14, 64.22, 48.32, 40.59, 51.04, 76.59, 75.61, 62.35] | 2 | 180
[67.83, 48.19, 41.23, 47.46, 65.97, 80.64, 65.60, 80.47] | 2 | 180
[51.84, 41.25, 49.13, 62.71, 72.16, 62.52, 74.11, 79.56] | 2 | 180
[66.05, 49.13, 40.76, 51.20, 74.99, 75.07, 60.71, 74.89] | 2 | 180
[60.00, 57.17, 52.45, 48.75, 59.46, 83.51, 69.35, 59.70] | 2 | 180
[59.36, 45.91, 40.13, 48.65, 79.73, 79.02, 69.54, 77.79] | 2 | 180
[48.12, 42.33, 46.38, 62.52, 82.93, 68.78, 82.43, 66.77] | 2 | 180
[53.22, 44.71, 43.17, 58.16, 85.88, 70.32, 75.75, 67.45] | 2 | 180
[55.54, 49.79, 45.32, 52.32, 85.04, 76.28, 69.16, 63.10] | 2 | 180
[53.23, 49.77, 47.16, 54.95, 85.51, 77.61, 70.17, 59.01] | 2 | 180
