# angles | wait | zero
[89.66, 69.85, 90.00, 69.85, 89.66, 90.00, 60.84, 90.00] | 2 | 180
[51.64, 89.80, 40.67, 76.06, 72.28, 88.29, 19.55, 89.88] | 2 | 180
[61.50, 69.16, 58.50, 49.11, 82.65, 75.74, 47.64, 49.99] | 2 | 180
[53.25, 66.45, 70.98, 47.66, 83.06, 79.42, 59.71, 38.07] | 2 | 180
[42.31, 46.50, 57.77, 84.74, 73.06, 87.10, 71.69, 44.98] | 2 | 180
[38.53, 37.87, 50.15, 83.67, 80.89, 77.89, 88.50, 58.54] | 2 | 180
[41.24, 41.21, 49.14, 70.66, 84.95, 75.74, 88.87, 59.21] | 2 | 180
[48.81, 42.31, 42.62, 58.93, 88.91, 75.37, 85.84, 67.85] | 2 | 180
[50.04, 37.89, 38.41, 59.10, 88.53, 77.65, 81.29, 82.41] | 2 | 180
[51.89, 39.93, 39.96, 52.53, 88.29, 78.99, 79.30, 87.76] | 2 | 180
[58.34, 38.57, 37.91, 50.20, 83.92, 80.80, 77.94, 88.51] | 2 | 180
[59.26, 40.97, 40.97, 49.21, 71.29, 84.75, 75.82, 88.86] | 2 | 180
[67.14, 48.73, 42.60, 42.99, 58.85, 88.92, 75.28, 86.07] | 2 | 180
[82.07, 50.02, 37.93, 38.40, 59.17, 88.55, 77.58, 81.40] | 2 | 180
[87.65, 51.73, 39.96, 40.01, 52.61, 88.38, 78.93, 79.36] | 2 | 180
[88.53, 58.11, 38.62, 37.97, 50.26, 84.16, 80.73, 77.99] | 2 | 180
[88.85, 59.31, 40.70, 40.74, 49.28, 71.91, 84.55, 75.91] | 2 | 180
[86.31, 66.41, 48.64, 42.91, 43.39, 58.77, 88.93, 75.19] | 2 | 180
[81.51, 81.71, 50.01, 37.98, 38.40, 59.23, 88.57, 77.51] | 2 | 180
[79.43, 87.51, 51.67, 39.94, 39.98, 52.73, 88.47, 78.86] | 2 | 180
[78.98, 89.45, 51.72, 38.30, 40.91, 53.74, 85.24, 79.07] | 2 | 180
[78.58, 87.91, 61.92, 36.81, 37.05, 49.83, 81.82, 81.20] | 2 | 180
[78.00, 78.99, 76.13, 54.40, 42.07, 35.93, 55.72, 89.42] | 2 | 180
[82.74, 68.60, 81.34, 61.92, 47.82, 38.92, 43.10, 82.42] | 2 | 180
[85.34, 65.07, 81.20, 64.33, 48.33, 39.90, 44.98, 74.24] | 2 | 180
[85.66, 64.69, 79.67, 69.79, 48.25, 38.22, 45.25, 71.21] | 2 | 180
[86.75, 63.70, 79.50, 71.99, 50.77, 39.40, 43.41, 67.47] | 2 | 180
[87.69, 63.37, 78.74, 75.37, 52.88, 39.72, 42.27, 64.00] | 2 | 180
[85.55, 65.23, 76.53, 80.29, 54.97, 36.60, 39.96, 65.33] | 2 | 180
[88.03, 66.01, 74.81, 87.48, 44.10, 45.44, 51.45, 52.75] | 2 | 180
[81.07, 68.20, 74.04, 87.54, 51.96, 36.54, 44.33, 61.78] | 2 | 180
[80.82, 67.36, 75.61, 86.24, 58.40, 33.18, 42.34, 60.74] | 2 | 180
[77.86, 67.99, 75.98, 86.76, 60.17, 32.08, 42.92, 59.88] | 2 | 180
[60.98, 85.39, 71.31, 87.96, 66.48, 45.74, 42.57, 46.99] | 2 | 180
[61.32, 85.13, 77.84, 78.55, 86.75, 60.19, 31.86, 32.78] | 2 | 180
[45.35, 62.89, 88.40, 73.25, 86.78, 61.67, 47.45, 43.33] | 2 | 180
[27.63, 71.45, 82.62, 81.04, 69.80, 89.96, 58.86, 34.04] | 2 | 180
[40.04, 46.94, 87.72, 76.82, 71.86, 85.50, 57.51, 44.86] | 2 | 180
[39.78, 53.26, 78.17, 79.15, 70.00, 89.16, 59.10, 39.63] | 2 | 180
[42.13, 55.37, 73.25, 75.67, 71.79, 88.84, 60.26, 36.96] | 2 | 180
[40.25, 33.90, 53.19, 86.09, 79.91, 73.45, 85.34, 60.23] | 2 | 180
[73.58, 67.41, 29.98, 77.06, 74.48, 89.14, 24.69, 74.13] | 2 | 180
[67.00, 68.37, 54.86, 44.91, 89.44, 65.05, 52.78, 54.66] | 2 | 180
[67.87, 80.38, 29.38, 74.58, 67.86, 80.39, 29.38, 74.57] | 2 | 180
[77.49, 71.53, 52.17, 54.57, 71.61, 82.63, 3.13, 80.45] | 2 | 180
[89.66, 65.13, 69.59, 60.92, 12.97, 89.40, 51.85, 68.54] | 2 | 180
[87.58, 79.29, 34.59, 86.26, 68.21, 24.17, 58.81, 77.99] | 2 | 180
