# angles | wait | zero
[46.27, 46.24, 53.56, 74.41, 77.98, 78.13, 67.27, 51.72] | 2 | 180
[46.27, 51.72, 67.27, 78.13, 77.98, 74.41, 53.56, 46.24] | 2 | 180
[47.23, 49.43, 59.20, 74.60, 75.39, 74.99, 60.60, 50.10] | 2 | 180
[47.75, 54.10, 67.65, 74.09, 74.09, 68.93, 54.89, 47.92] | 2 | 180
[47.75, 47.92, 54.89, 68.93, 74.09, 74.09, 67.65, 54.10] | 2 | 180
[49.04, 48.87, 54.96, 66.64, 72.33, 72.37, 67.44, 55.57] | 2 | 180
[49.04, 55.57, 67.44, 72.37, 72.33, 66.64, 54.96, 48.87] | 2 | 180
[53.93, 51.93, 54.60, 61.06, 66.87, 68.19, 66.32, 60.01] | 2 | 180
[53.93, 60.01, 66.32, 68.19, 66.87, 61.06, 54.60, 51.93] | 2 | 180
[56.32, 61.76, 65.91, 66.66, 64.35, 59.03, 54.46, 53.42] | 2 | 180
[56.32, 53.42, 54.46, 59.03, 64.35, 66.66, 65.91, 61.76] | 2 | 180
[62.93, 57.95, 54.41, 54.31, 57.69, 62.68, 65.76, 65.83] | 2 | 180
[65.42, 60.34, 55.06, 53.06, 55.17, 60.51, 65.52, 66.99] | 2 | 180
[64.99, 63.90, 60.47, 56.69, 55.02, 56.35, 60.00, 63.61] | 2 | 180
[66.80, 66.54, 62.83, 57.02, 53.38, 53.75, 58.00, 63.78] | 2 | 180
[69.27, 68.71, 63.16, 55.18, 51.06, 52.10, 58.18, 66.23] | 2 | 180
[70.67, 69.31, 60.94, 52.65, 49.75, 52.35, 60.43, 69.08] | 2 | 180
[71.32, 66.04, 55.45, 49.59, 49.74, 55.94, 66.63, 71.37] | 2 | 180
[70.67, 69.31, 60.94, 52.65, 49.75, 52.35, 60.43, 69.08] | 2 | 180
[69.27, 68.71, 63.16, 55.18, 51.06, 52.10, 58.18, 66.23] | 2 | 180
[66.80, 66.54, 62.83, 57.02, 53.38, 53.75, 58.00, 63.78] | 2 | 180
[64.99, 63.90, 60.47, 56.69, 55.02, 56.35, 60.00, 63.61] | 2 | 180
[65.14, 61.89, 57.30, 54.52, 55.07, 58.68, 63.21, 65.55] | 2 | 180
[66.98, 61.66, 55.16, 52.12, 53.69, 59.39, 65.78, 68.01] | 2 | 180
[69.46, 64.00, 55.34, 50.67, 51.38, 57.48, 66.27, 69.81] | 2 | 180
[70.93, 67.39, 57.29, 50.56, 49.73, 54.64, 64.37, 70.61] | 2 | 180
[73.47, 68.10, 54.94, 48.25, 48.17, 54.61, 67.59, 73.47] | 2 | 180
[73.47, 73.47, 67.59, 54.61, 48.17, 48.25, 54.94, 68.10] | 2 | 180
[72.66, 71.76, 61.24, 51.54, 48.35, 50.83, 59.92, 71.27] | 2 | 180
[74.51, 74.38, 63.41, 51.71, 47.43, 48.79, 57.46, 72.45] | 2 | 180
[76.41, 76.39, 62.08, 50.53, 47.00, 48.30, 57.24, 75.16] | 2 | 180
[77.38, 76.93, 58.68, 49.01, 47.07, 49.28, 59.27, 77.06] | 2 | 180
[77.40, 75.82, 55.82, 47.54, 46.84, 50.72, 63.04, 77.51] | 2 | 180
[76.61, 73.39, 54.79, 46.98, 46.63, 51.93, 66.22, 76.76] | 2 | 180
[74.99, 70.81, 55.14, 47.60, 47.19, 53.05, 66.92, 75.04] | 2 | 180
[72.87, 70.07, 57.50, 49.53, 48.28, 52.96, 64.04, 72.59] | 2 | 180
[73.47, 68.10, 54.94, 48.25, 48.17, 54.61, 67.59, 73.47] | 2 | 180
