# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[62.32, 62.78, 61.72, 59.63, 57.74, 57.22, 58.38, 60.52] | 2 | 180
[62.06, 65.05, 65.32, 62.87, 58.47, 55.11, 54.77, 57.62] | 2 | 180
[57.77, 64.53, 67.82, 67.53, 63.29, 56.51, 52.44, 52.90] | 2 | 180
[51.72, 58.78, 67.71, 70.27, 69.50, 62.65, 54.02, 50.14] | 2 | 180
[48.54, 51.38, 60.61, 71.15, 72.35, 71.15, 60.61, 51.38] | 2 | 180
[48.86, 47.52, 51.90, 63.59, 74.14, 74.28, 72.08, 57.42] | 2 | 180
[54.20, 46.83, 46.64, 52.74, 68.05, 76.33, 76.24, 71.62] | 2 | 180
[69.04, 52.10, 46.06, 46.01, 53.08, 73.19, 77.97, 78.06] | 2 | 180
[79.45, 63.86, 50.81, 46.86, 46.65, 53.50, 77.50, 79.44] | 2 | 180
[80.84, 80.31, 56.03, 49.15, 48.57, 49.15, 56.03, 80.31] | 2 | 180
[81.84, 82.23, 80.24, 48.68, 46.65, 48.75, 51.44, 63.27] | 2 | 180
[72.52, 83.07, 83.45, 77.98, 49.60, 42.99, 44.76, 51.97] | 2 | 180
[4.13, 86.85, 83.65, 85.71, 64.89, 71.79, 60.02, 47.47] | 2 | 180
[63.33, 64.13, 79.69, 86.67, 82.75, 81.90, 22.74, 34.05] | 2 | 180
[25.39, 41.78, 83.11, 81.71, 87.78, 81.71, 83.11, 41.78] | 2 | 180
[57.07, 80.08, 47.34, 63.39, 85.25, 87.04, 85.83, 0.00] | 2 | 180
[21.02, 4.23, 85.56, 79.70, 72.32, 87.46, 87.46, 89.90] | 2 | 180
[75.41, 77.76, 80.19, 2.91, 21.81, 89.99, 87.92, 87.55] | 2 | 180
[85.20, 75.16, 54.43, 48.64, 44.53, 37.12, 84.91, 88.62] | 2 | 180
[88.97, 83.57, 48.67, 60.27, 38.61, 60.27, 48.67, 83.57] | 2 | 180
[86.39, 89.38, 85.08, 65.82, 89.75, 24.80, 83.45, 7.33] | 2 | 180
[89.98, 88.88, 88.40, 90.00, 73.07, 19.62, 22.32, 65.58] | 2 | 180
[59.60, 83.99, 88.82, 83.97, 39.92, 40.55, 54.50, 62.12] | 2 | 180
[24.40, 89.74, 88.28, 87.62, 83.65, 59.08, 64.11, 33.14] | 2 | 180
[54.02, 63.81, 84.03, 88.70, 83.90, 40.46, 47.61, 50.54] | 2 | 180
[20.81, 59.57, 83.24, 88.19, 85.79, 81.64, 40.61, 59.87] | 2 | 180
[13.04, 22.65, 89.97, 84.29, 87.11, 74.67, 70.06, 88.67] | 2 | 180
[46.75, 51.10, 64.10, 77.30, 77.16, 75.13, 55.43, 47.30] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[77.16, 75.13, 55.43, 47.30, 46.75, 51.10, 64.10, 77.30] | 2 | 180
[87.11, 74.67, 70.06, 88.67, 13.05, 22.64, 89.97, 84.29] | 2 | 180
[85.79, 81.64, 40.61, 59.87, 20.82, 59.57, 83.24, 88.19] | 2 | 180
[83.90, 40.46, 47.61, 50.54, 54.02, 63.81, 84.03, 88.70] | 2 | 180
[83.65, 59.08, 64.11, 33.14, 24.40, 89.74, 88.28, 87.62] | 2 | 180
[39.92, 40.56, 54.48, 62.11, 59.61, 83.98, 88.82, 83.97] | 2 | 180
[72.93, 19.73, 22.59, 65.33, 90.00, 88.88, 88.40, 90.00] | 2 | 180
[10.52, 84.63, 89.07, 8.33, 86.49, 89.42, 85.07, 79.37] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
