# angles | wait | zero
[89.66, 69.85, 90.00, 69.85, 89.66, 90.00, 60.84, 90.00] | 2 | 180
[68.22, 87.73, 22.06, 89.94, 67.94, 89.94, 22.04, 87.74] | 2 | 180
[74.90, 69.84, 32.79, 68.28, 85.01, 68.29, 32.78, 69.84] | 2 | 180
[86.74, 76.40, 8.19, 85.66, 75.41, 82.28, 33.34, 65.15] | 2 | 180
[89.76, 80.43, 32.42, 72.95, 89.91, 62.59, 72.96, 20.60] | 2 | 180
[54.65, 41.32, 41.53, 81.87, 84.56, 54.28, 76.45, 70.08] | 2 | 180
[39.93, 47.26, 79.07, 84.19, 73.47, 88.15, 57.49, 43.03] | 2 | 180
[33.26, 76.55, 82.46, 79.56, 78.80, 88.64, 49.30, 31.11] | 2 | 180
[45.72, 59.59, 88.75, 73.48, 87.49, 63.08, 47.83, 43.99] | 2 | 180
[51.81, 76.13, 82.91, 75.12, 90.00, 56.03, 40.06, 40.33] | 2 | 180
[60.19, 85.70, 79.00, 78.43, 86.46, 61.88, 31.75, 31.85] | 2 | 180
[74.53, 83.20, 79.17, 79.05, 87.50, 51.17, 30.84, 32.50] | 2 | 180
[58.82, 89.02, 73.49, 87.25, 63.76, 48.22, 44.05, 45.42] | 2 | 180
[75.25, 83.20, 74.97, 90.00, 56.13, 40.34, 40.32, 51.88] | 2 | 180
[85.53, 79.10, 78.35, 86.53, 62.22, 31.71, 31.84, 59.93] | 2 | 180
[84.50, 78.53, 79.43, 85.99, 52.64, 31.59, 32.46, 70.92] | 2 | 180
[89.11, 73.60, 86.87, 64.85, 48.49, 43.71, 44.79, 58.63] | 2 | 180
[83.50, 74.82, 90.00, 56.18, 40.64, 40.56, 51.74, 74.39] | 2 | 180
[79.20, 78.27, 86.59, 62.54, 31.66, 31.94, 59.60, 85.36] | 2 | 180
[77.88, 79.81, 84.62, 53.60, 33.12, 33.15, 66.72, 85.96] | 2 | 180
[73.67, 86.27, 66.16, 49.35, 43.90, 44.16, 57.09, 89.71] | 2 | 180
[80.50, 84.67, 44.74, 41.44, 48.01, 57.42, 73.00, 74.15] | 2 | 180
[85.14, 68.87, 57.72, 41.66, 47.23, 61.08, 65.82, 66.67] | 2 | 180
[73.58, 82.08, 53.64, 39.86, 43.50, 58.33, 77.84, 70.24] | 2 | 180
[69.88, 76.28, 59.10, 46.21, 40.18, 48.61, 81.09, 78.75] | 2 | 180
[87.68, 50.22, 42.21, 45.93, 53.79, 69.64, 79.52, 76.63] | 2 | 180
[70.92, 47.61, 81.77, 19.19, 62.91, 63.32, 70.66, 85.05] | 2 | 180
[81.30, 50.73, 41.15, 48.13, 60.52, 72.33, 65.79, 75.66] | 2 | 180
[78.91, 60.19, 45.50, 40.12, 49.42, 77.62, 79.17, 68.42] | 2 | 180
[63.67, 47.79, 43.54, 46.40, 60.54, 84.60, 72.58, 84.19] | 2 | 180
[49.19, 40.60, 47.07, 59.43, 74.20, 68.64, 77.60, 81.70] | 2 | 180
[62.15, 46.09, 40.37, 49.78, 75.02, 78.82, 66.17, 79.09] | 2 | 180
[59.03, 54.38, 49.55, 46.35, 63.62, 83.88, 74.73, 62.00] | 2 | 180
[56.05, 45.77, 40.65, 44.43, 82.59, 82.52, 76.57, 80.25] | 2 | 180
[48.99, 45.59, 45.94, 55.46, 86.19, 76.40, 85.23, 62.87] | 2 | 180
[51.62, 47.19, 45.04, 53.23, 87.61, 77.12, 80.47, 62.28] | 2 | 180
[52.58, 49.66, 46.90, 51.26, 86.08, 81.51, 73.92, 60.00] | 2 | 180
[78.79, 80.51, 17.93, 64.04, 86.99, 83.45, 80.68, 26.83] | 2 | 180
