# angles | wait | zero
[44.03, 43.82, 51.23, 77.69, 83.26, 82.56, 71.99, 50.84] | 2 | 180
[44.03, 50.84, 71.99, 82.56, 83.26, 77.69, 51.23, 43.82] | 2 | 180
[48.48, 48.59, 55.02, 79.67, 80.13, 80.02, 57.80, 49.67] | 2 | 180
[45.77, 51.83, 72.35, 78.94, 78.96, 71.78, 51.78, 45.82] | 2 | 180
[45.77, 45.82, 51.78, 71.78, 78.96, 78.94, 72.35, 51.83] | 2 | 180
[46.48, 46.40, 52.45, 68.47, 77.06, 76.96, 72.28, 53.71] | 2 | 180
[46.48, 53.71, 72.28, 76.96, 77.06, 68.47, 52.45, 46.40] | 2 | 180
[51.83, 48.92, 51.68, 60.52, 70.41, 71.77, 70.52, 60.79] | 2 | 180
[51.83, 60.79, 70.52, 71.77, 70.41, 60.52, 51.68, 48.92] | 2 | 180
[54.92, 63.68, 69.57, 70.02, 66.77, 57.81, 51.39, 50.43] | 2 | 180
[54.92, 50.43, 51.39, 57.81, 66.77, 70.02, 69.57, 63.68] | 2 | 180
[64.61, 56.36, 51.33, 51.48, 56.81, 65.08, 69.18, 69.09] | 2 | 180
[68.27, 59.74, 52.25, 50.10, 53.38, 61.63, 69.13, 70.25] | 2 | 180
[67.03, 65.73, 60.83, 55.35, 53.02, 54.82, 60.03, 65.29] | 2 | 180
[69.61, 69.51, 64.82, 56.13, 50.96, 51.15, 56.70, 65.43] | 2 | 180
[72.74, 72.57, 65.15, 53.70, 48.43, 49.24, 56.67, 69.13] | 2 | 180
[74.27, 73.61, 60.71, 50.51, 47.56, 50.05, 59.80, 73.33] | 2 | 180
[75.82, 67.90, 52.98, 46.85, 47.07, 54.43, 71.07, 75.75] | 2 | 180
[74.27, 73.61, 60.71, 50.51, 47.56, 50.05, 59.80, 73.33] | 2 | 180
[72.74, 72.57, 65.15, 53.70, 48.43, 49.24, 56.67, 69.13] | 2 | 180
[69.61, 69.51, 64.82, 56.13, 50.96, 51.15, 56.70, 65.43] | 2 | 180
[67.03, 65.73, 60.83, 55.35, 53.02, 54.82, 60.03, 65.29] | 2 | 180
[67.47, 62.49, 55.64, 52.04, 53.12, 58.61, 65.43, 68.15] | 2 | 180
[70.45, 61.56, 52.47, 49.14, 51.47, 59.80, 69.72, 71.48] | 2 | 180
[73.65, 64.91, 52.86, 47.79, 48.73, 56.69, 70.63, 73.74] | 2 | 180
[74.93, 70.62, 55.08, 47.59, 47.22, 53.16, 67.07, 74.98] | 2 | 180
[78.30, 70.59, 52.14, 45.98, 45.91, 52.45, 72.36, 78.25] | 2 | 180
[78.30, 78.25, 72.36, 52.45, 45.91, 45.98, 52.14, 70.59] | 2 | 180
[76.79, 76.63, 60.48, 49.84, 47.08, 48.75, 58.10, 76.07] | 2 | 180
[79.14, 79.36, 64.06, 50.94, 47.17, 46.70, 53.07, 77.31] | 2 | 180
[81.35, 81.18, 60.69, 50.91, 48.88, 47.44, 50.93, 80.10] | 2 | 180
[81.25, 85.96, 34.70, 58.80, 68.94, 59.20, 37.41, 85.82] | 2 | 180
[82.04, 82.23, 40.78, 49.17, 54.67, 53.53, 59.44, 82.84] | 2 | 180
[81.59, 77.95, 48.32, 45.62, 47.30, 51.02, 69.16, 81.58] | 2 | 180
[79.87, 74.61, 51.04, 45.55, 45.99, 51.23, 70.85, 79.95] | 2 | 180
[77.21, 74.34, 54.47, 46.82, 46.61, 51.61, 65.87, 77.41] | 2 | 180
[78.30, 70.59, 52.14, 45.98, 45.91, 52.45, 72.36, 78.25] | 2 | 180
