# angles | wait | zero
[57.55, 57.11, 87.22, 44.11, 88.48, 84.99, 60.86, 36.04] | 2 | 180
[54.73, 54.53, 53.67, 56.43, 85.26, 81.26, 56.58, 54.31] | 2 | 180
[52.50, 52.58, 54.75, 62.56, 75.28, 73.98, 61.14, 54.28] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[64.35, 62.82, 59.73, 57.34, 56.52, 57.34, 59.73, 62.82] | 2 | 180
[64.35, 62.82, 59.73, 57.34, 56.52, 57.34, 59.73, 62.82] | 2 | 180
[69.02, 67.43, 60.81, 55.93, 54.10, 54.50, 57.37, 63.36] | 2 | 180
[72.55, 74.13, 62.98, 55.24, 52.80, 52.66, 54.52, 61.09] | 2 | 180
[72.51, 82.20, 65.47, 54.88, 52.67, 52.49, 53.12, 57.47] | 2 | 180
[65.23, 84.73, 72.42, 56.78, 53.21, 52.81, 52.87, 54.57] | 2 | 180
[59.31, 79.34, 81.55, 60.56, 53.56, 52.72, 52.73, 53.42] | 2 | 180
[55.41, 68.42, 86.22, 68.42, 55.41, 53.18, 53.04, 53.18] | 2 | 180
[53.56, 60.56, 81.55, 79.34, 59.31, 53.42, 52.73, 52.72] | 2 | 180
[53.21, 56.78, 72.42, 84.73, 65.23, 54.57, 52.87, 52.81] | 2 | 180
[52.68, 54.29, 63.89, 83.02, 74.41, 57.79, 53.23, 52.63] | 2 | 180
[52.36, 53.61, 59.51, 73.45, 77.91, 63.95, 54.92, 52.56] | 2 | 180
[53.32, 53.82, 57.01, 64.31, 71.46, 68.63, 60.19, 54.98] | 2 | 180
[59.41, 56.19, 55.18, 56.19, 59.41, 64.15, 66.72, 64.15] | 2 | 180
[71.00, 62.30, 55.73, 53.34, 53.31, 55.61, 62.02, 70.80] | 2 | 180
[80.81, 68.77, 56.44, 52.89, 52.37, 52.89, 56.44, 68.77] | 2 | 180
[84.50, 76.66, 57.80, 53.42, 52.97, 52.91, 53.76, 61.89] | 2 | 180
[80.63, 86.61, 55.52, 53.63, 54.85, 55.16, 54.73, 56.35] | 2 | 180
[74.73, 88.13, 68.04, 53.96, 52.78, 52.78, 52.50, 54.29] | 2 | 180
[64.08, 88.02, 77.35, 55.29, 52.66, 52.97, 53.10, 54.06] | 2 | 180
[53.36, 82.49, 87.22, 49.24, 54.80, 57.72, 58.17, 56.67] | 2 | 180
[71.62, 88.17, 71.62, 53.94, 52.55, 52.70, 52.55, 53.94] | 2 | 180
[52.10, 51.70, 52.30, 76.79, 87.53, 76.79, 52.30, 51.70] | 2 | 180
