# angles | wait | zero
[77.53, 88.75, 0.00, 88.75, 77.53, 88.75, 0.00, 88.75] | 2 | 180
[88.75, 77.53, 88.75, 0.00, 88.75, 77.53, 88.75, 0.00] | 2 | 180
[0.00, 88.75, 77.53, 88.75, 0.00, 88.75, 77.53, 88.75] | 2 | 180
[88.75, 0.00, 88.75, 77.53, 88.75, 0.00, 88.75, 77.53] | 2 | 180
[77.53, 88.74, 0.00, 88.74, 77.53, 88.74, 0.00, 88.74] | 2 | 180
[88.75, 77.53, 88.75, 0.00, 88.75, 77.53, 88.75, 0.00] | 2 | 180
[0.00, 88.74, 77.53, 88.74, 0.00, 88.74, 77.53, 88.74] | 2 | 180
[88.74, 0.00, 88.74, 77.53, 88.74, 0.00, 88.74, 77.53] | 2 | 180
[77.53, 88.74, 0.00, 88.74, 77.53, 88.74, 0.00, 88.74] | 2 | 180
