# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[61.80, 62.17, 61.33, 59.70, 58.23, 57.83, 58.73, 60.39] | 2 | 180
[61.55, 63.94, 64.16, 62.18, 58.78, 56.15, 55.89, 58.12] | 2 | 180
[58.24, 63.41, 66.16, 65.89, 62.46, 57.25, 53.96, 54.35] | 2 | 180
[53.33, 59.09, 65.82, 68.24, 67.35, 62.02, 55.22, 51.92] | 2 | 180
[50.26, 52.93, 60.67, 68.52, 70.05, 68.52, 60.67, 52.93] | 2 | 180
[50.64, 49.05, 53.21, 63.05, 71.10, 71.68, 69.17, 58.44] | 2 | 180
[55.79, 48.63, 48.17, 54.01, 66.34, 73.21, 73.26, 68.91] | 2 | 180
[67.22, 53.33, 47.30, 47.64, 55.02, 70.29, 74.79, 74.83] | 2 | 180
[76.18, 63.79, 51.26, 46.94, 47.86, 56.34, 74.11, 76.10] | 2 | 180
[77.38, 76.99, 58.97, 49.15, 47.08, 49.15, 58.97, 76.99] | 2 | 180
[78.81, 78.74, 76.81, 54.24, 46.82, 46.74, 50.83, 63.88] | 2 | 180
[70.26, 80.06, 80.04, 75.11, 51.34, 45.33, 45.80, 51.37] | 2 | 180
[51.05, 75.81, 81.22, 80.95, 71.34, 50.42, 45.53, 45.14] | 2 | 180
[46.63, 48.96, 80.11, 82.08, 81.74, 63.29, 51.38, 48.64] | 2 | 180
[49.84, 49.66, 54.00, 81.79, 83.12, 81.79, 54.00, 49.66] | 2 | 180
[84.63, 87.15, 21.76, 70.73, 85.19, 84.52, 88.03, 0.19] | 2 | 180
[9.28, 85.47, 86.46, 8.07, 82.20, 85.33, 85.58, 86.09] | 2 | 180
[89.67, 5.01, 70.82, 25.55, 89.64, 74.17, 87.34, 84.55] | 2 | 180
[84.87, 59.70, 76.51, 49.28, 22.79, 51.38, 83.23, 86.35] | 2 | 180
[86.94, 83.93, 51.18, 40.66, 78.77, 40.66, 51.18, 83.93] | 2 | 180
[83.74, 87.91, 84.34, 72.83, 8.63, 85.22, 39.02, 56.67] | 2 | 180
[81.90, 86.94, 86.25, 83.54, 14.33, 76.97, 44.33, 47.35] | 2 | 180
[87.99, 83.94, 88.24, 82.52, 87.09, 0.09, 87.62, 10.72] | 2 | 180
[67.11, 77.77, 86.78, 85.27, 85.00, 1.93, 69.62, 35.30] | 2 | 180
[47.69, 76.54, 82.76, 87.28, 81.23, 70.39, 54.32, 2.26] | 2 | 180
[70.83, 64.42, 78.29, 86.69, 83.17, 85.83, 9.92, 34.97] | 2 | 180
[44.00, 48.05, 73.90, 81.38, 82.27, 74.88, 53.66, 45.06] | 2 | 180
[47.59, 52.06, 63.74, 73.97, 74.12, 71.81, 57.38, 48.89] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[74.12, 71.81, 57.38, 48.89, 47.59, 52.06, 63.74, 73.97] | 2 | 180
[82.27, 74.88, 53.66, 45.06, 44.00, 48.05, 73.90, 81.38] | 2 | 180
[83.17, 85.83, 9.91, 34.97, 70.83, 64.42, 78.29, 86.69] | 2 | 180
[81.23, 70.39, 54.32, 2.26, 47.69, 76.54, 82.76, 87.28] | 2 | 180
[85.00, 1.93, 69.62, 35.30, 67.11, 77.77, 86.78, 85.27] | 2 | 180
[87.09, 0.09, 87.62, 10.72, 87.99, 83.94, 88.24, 82.52] | 2 | 180
[14.33, 76.97, 44.33, 47.35, 81.90, 86.94, 86.25, 83.54] | 2 | 180
[8.63, 85.22, 39.02, 56.67, 83.74, 87.91, 84.34, 72.83] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
