# angles | wait | zero
[84.94, 64.31, 38.25, 64.33, 84.90, 64.30, 38.32, 64.27] | 2 | 180
[76.65, 64.43, 49.90, 54.54, 82.35, 68.42, 41.50, 57.11] | 2 | 180
[63.43, 69.16, 59.16, 46.21, 81.43, 76.47, 43.19, 55.35] | 2 | 180
[63.70, 57.18, 67.93, 50.01, 76.23, 84.71, 43.19, 53.19] | 2 | 180
[39.66, 49.54, 67.48, 78.92, 64.72, 86.06, 71.58, 44.10] | 2 | 180
[38.79, 35.41, 52.79, 83.56, 75.99, 71.15, 85.40, 64.86] | 2 | 180
[43.03, 39.33, 49.63, 72.83, 82.71, 66.73, 87.25, 64.44] | 2 | 180
[48.99, 40.36, 44.37, 64.07, 87.50, 66.05, 83.96, 70.73] | 2 | 180
[52.40, 35.64, 39.00, 65.11, 85.66, 70.56, 76.79, 82.40] | 2 | 180
[56.70, 37.41, 38.10, 58.65, 85.66, 73.13, 73.24, 86.11] | 2 | 180
[64.77, 38.76, 35.38, 52.88, 83.80, 75.81, 71.28, 85.34] | 2 | 180
[64.53, 42.74, 39.10, 49.77, 73.31, 82.42, 66.89, 87.18] | 2 | 180
[70.27, 48.83, 40.56, 44.67, 64.06, 87.52, 65.92, 84.23] | 2 | 180
[82.10, 52.31, 35.72, 39.07, 65.14, 85.73, 70.41, 76.99] | 2 | 180
[86.21, 56.24, 37.40, 38.32, 58.90, 85.61, 73.09, 73.27] | 2 | 180
[85.29, 64.67, 38.73, 35.36, 52.97, 84.04, 75.64, 71.41] | 2 | 180
[87.11, 64.62, 42.46, 38.87, 49.91, 73.80, 82.13, 67.06] | 2 | 180
[84.40, 69.96, 48.65, 40.58, 44.85, 64.30, 87.40, 65.88] | 2 | 180
[77.20, 81.79, 52.22, 35.80, 39.15, 65.16, 85.80, 70.26] | 2 | 180
[73.31, 86.29, 55.76, 37.42, 38.57, 59.10, 85.59, 73.04] | 2 | 180
[74.13, 84.91, 61.95, 36.90, 36.51, 56.05, 86.25, 72.07] | 2 | 180
[69.96, 87.75, 62.15, 39.08, 38.01, 52.92, 79.31, 78.25] | 2 | 180
[70.53, 74.61, 77.08, 56.56, 41.30, 36.89, 59.33, 88.83] | 2 | 180
[79.07, 61.67, 78.14, 63.06, 53.97, 44.59, 37.66, 83.83] | 2 | 180
[82.94, 57.47, 78.01, 65.58, 54.98, 47.07, 36.92, 77.17] | 2 | 180
[83.71, 56.64, 76.99, 69.88, 55.13, 42.43, 41.12, 73.85] | 2 | 180
[84.36, 56.43, 75.57, 74.33, 53.69, 42.95, 41.64, 71.13] | 2 | 180
[84.52, 56.94, 73.94, 78.22, 53.44, 42.31, 42.66, 68.66] | 2 | 180
[83.03, 58.58, 72.13, 81.05, 55.53, 38.87, 43.34, 68.05] | 2 | 180
[82.79, 60.05, 70.12, 85.42, 52.41, 40.21, 47.12, 63.81] | 2 | 180
[85.01, 58.97, 71.03, 85.91, 53.05, 43.98, 46.98, 58.61] | 2 | 180
[76.17, 64.69, 67.59, 89.00, 53.53, 37.77, 49.06, 62.94] | 2 | 180
[72.46, 66.28, 67.54, 89.27, 55.14, 37.11, 48.97, 62.89] | 2 | 180
[56.95, 87.72, 59.12, 90.00, 65.49, 43.38, 49.46, 55.88] | 2 | 180
[49.28, 87.20, 71.80, 71.18, 89.97, 47.84, 46.70, 47.90] | 2 | 180
[45.05, 66.49, 87.37, 63.80, 84.23, 67.26, 49.04, 41.81] | 2 | 180
[29.04, 65.59, 83.15, 74.51, 64.44, 83.54, 61.89, 41.65] | 2 | 180
[39.52, 51.86, 86.13, 72.10, 64.73, 83.70, 61.87, 44.55] | 2 | 180
[41.06, 53.41, 78.92, 75.74, 61.16, 89.12, 59.55, 45.64] | 2 | 180
[45.13, 57.75, 73.75, 72.28, 63.40, 89.36, 60.59, 38.95] | 2 | 180
[51.76, 44.87, 42.08, 89.95, 73.19, 67.70, 84.32, 55.16] | 2 | 180
[61.25, 55.59, 67.94, 42.51, 88.07, 72.31, 43.78, 67.21] | 2 | 180
[70.01, 71.80, 47.23, 50.23, 85.90, 66.25, 50.99, 53.63] | 2 | 180
[66.11, 82.93, 29.06, 77.44, 66.05, 83.55, 27.35, 77.99] | 2 | 180
[90.00, 57.11, 58.05, 49.42, 86.29, 49.44, 58.03, 57.12] | 2 | 180
[88.34, 62.87, 47.66, 67.88, 51.69, 63.14, 51.64, 61.86] | 2 | 180
[87.40, 69.58, 54.24, 58.68, 40.25, 58.91, 54.13, 69.59] | 2 | 180
