# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[73.39, 51.45, 90.00, 53.40, 71.10, 53.40, 90.00, 51.45] | 2 | 180
[48.28, 70.31, 48.29, 89.88, 48.20, 70.41, 48.21, 89.88] | 2 | 180
[90.00, 53.44, 71.06, 53.44, 90.00, 51.42, 73.44, 51.42] | 2 | 180
[61.24, 73.22, 61.24, 47.66, 61.24, 73.22, 61.24, 47.66] | 2 | 180
[67.52, 56.30, 90.00, 48.36, 76.86, 48.36, 90.00, 56.30] | 2 | 180
[48.28, 70.31, 48.29, 89.88, 48.20, 70.41, 48.21, 89.88] | 2 | 180
[90.00, 49.36, 75.77, 49.36, 90.00, 55.39, 68.67, 55.39] | 2 | 180
[61.24, 73.22, 61.24, 47.66, 61.24, 73.22, 61.24, 47.66] | 2 | 180
[69.66, 54.59, 90.00, 50.21, 74.81, 50.21, 90.00, 54.59] | 2 | 180
[60.40, 60.28, 60.00, 59.72, 59.61, 59.72, 60.00, 60.28] | 2 | 180
