# angles | wait | zero
[61.59, 89.59, 56.13, 88.97, 63.96, 49.52, 45.14, 53.34] | 2 | 180
[73.67, 69.50, 34.72, 69.49, 73.69, 69.50, 34.71, 69.50] | 2 | 180
[77.82, 71.33, 61.25, 37.95, 77.87, 71.25, 61.30, 37.96] | 2 | 180
[61.25, 71.33, 77.82, 37.95, 61.31, 71.25, 77.87, 37.95] | 2 | 180
[34.71, 69.50, 73.68, 69.50, 34.71, 69.50, 73.68, 69.50] | 2 | 180
[54.86, 38.50, 78.50, 72.77, 53.42, 52.60, 64.73, 81.39] | 2 | 180
[75.11, 40.83, 57.93, 73.62, 75.11, 40.83, 57.94, 73.61] | 2 | 180
[73.69, 69.50, 34.71, 69.50, 73.68, 69.50, 34.71, 69.49] | 2 | 180
[77.82, 71.33, 61.25, 37.95, 77.87, 71.25, 61.30, 37.96] | 2 | 180
[61.25, 71.33, 77.82, 37.95, 61.31, 71.25, 77.87, 37.95] | 2 | 180
[34.71, 69.50, 73.68, 69.50, 34.71, 69.50, 73.68, 69.49] | 2 | 180
[54.87, 38.49, 78.50, 72.77, 53.42, 52.59, 64.74, 81.38] | 2 | 180
[75.11, 40.83, 57.93, 73.62, 75.11, 40.83, 57.94, 73.61] | 2 | 180
[73.68, 69.50, 34.71, 69.49, 73.68, 69.50, 34.71, 69.50] | 2 | 180
[90.00, 57.09, 57.94, 49.54, 86.12, 49.54, 57.94, 57.09] | 2 | 180
[88.34, 62.87, 47.66, 67.88, 51.69, 63.14, 51.64, 61.86] | 2 | 180
[88.65, 64.69, 69.55, 27.98, 60.58, 66.53, 52.53, 67.65] | 2 | 180
[72.33, 85.53, 70.50, 40.70, 31.53, 58.60, 62.58, 86.86] | 2 | 180
[74.87, 78.11, 82.15, 53.61, 41.79, 38.29, 53.92, 89.83] | 2 | 180
[84.49, 68.32, 85.78, 59.87, 46.85, 41.00, 44.61, 76.69] | 2 | 180
[87.85, 73.68, 75.52, 41.68, 90.00, 69.29, 0.05, 65.34] | 2 | 180
[75.62, 83.39, 53.57, 54.87, 70.58, 57.56, 53.20, 45.92] | 2 | 180
[64.95, 87.06, 52.67, 49.95, 65.68, 69.66, 57.99, 47.01] | 2 | 180
[74.91, 71.56, 69.13, 32.89, 74.93, 71.53, 69.15, 32.90] | 2 | 180
[65.68, 69.66, 57.99, 47.01, 64.95, 87.06, 52.67, 49.95] | 2 | 180
[70.58, 57.56, 53.20, 45.92, 75.62, 83.39, 53.57, 54.87] | 2 | 180
[90.00, 69.29, 0.05, 65.34, 87.85, 73.68, 75.52, 41.68] | 2 | 180
[46.85, 41.00, 44.61, 76.69, 84.49, 68.32, 85.78, 59.87] | 2 | 180
[41.79, 38.29, 53.92, 89.83, 74.87, 78.11, 82.15, 53.61] | 2 | 180
[36.11, 32.12, 82.53, 80.12, 76.25, 80.47, 80.60, 38.30] | 2 | 180
[41.79, 53.61, 82.15, 78.11, 74.87, 89.83, 53.92, 38.29] | 2 | 180
[46.85, 59.87, 85.78, 68.32, 84.49, 76.69, 44.61, 41.00] | 2 | 180
[90.00, 41.68, 75.52, 73.68, 87.85, 65.34, 0.05, 69.29] | 2 | 180
[70.58, 54.87, 53.57, 83.39, 75.62, 45.92, 53.20, 57.56] | 2 | 180
[65.68, 49.95, 52.67, 87.06, 64.95, 47.01, 57.99, 69.66] | 2 | 180
[60.67, 50.50, 54.01, 84.21, 60.69, 50.50, 53.99, 84.23] | 2 | 180
[64.95, 47.01, 57.99, 69.66, 65.68, 49.95, 52.67, 87.06] | 2 | 180
[75.62, 45.92, 53.20, 57.56, 70.58, 54.87, 53.57, 83.39] | 2 | 180
[87.85, 65.34, 0.06, 69.29, 90.00, 41.68, 75.52, 73.68] | 2 | 180
[84.49, 76.69, 44.61, 41.00, 46.85, 59.87, 85.78, 68.32] | 2 | 180
[74.87, 89.83, 53.92, 38.29, 41.79, 53.61, 82.15, 78.11] | 2 | 180
[72.11, 86.47, 74.16, 23.11, 43.53, 73.32, 52.35, 90.00] | 2 | 180
[73.68, 69.50, 34.71, 69.49, 73.68, 69.50, 34.71, 69.50] | 2 | 180
