# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[84.54, 81.32, 59.74, 47.38, 43.84, 47.38, 59.74, 81.32] | 2 | 180
[86.54, 82.71, 89.99, 6.45, 31.01, 78.97, 73.20, 68.17] | 2 | 180
[82.64, 84.01, 82.64, 51.09, 50.89, 52.46, 50.89, 51.09] | 2 | 180
[89.99, 82.71, 86.54, 68.17, 73.20, 78.97, 31.01, 6.45] | 2 | 180
[59.74, 81.32, 84.54, 81.32, 59.74, 47.38, 43.84, 47.38] | 2 | 180
[73.20, 68.17, 86.54, 82.71, 89.99, 6.45, 31.01, 78.97] | 2 | 180
[50.89, 51.09, 82.64, 84.01, 82.64, 51.09, 50.89, 52.46] | 2 | 180
[31.01, 6.45, 89.99, 82.71, 86.54, 68.17, 73.20, 78.97] | 2 | 180
[43.84, 47.38, 59.74, 81.32, 84.54, 81.32, 59.74, 47.38] | 2 | 180
[31.01, 78.97, 73.20, 68.17, 86.54, 82.71, 89.99, 6.45] | 2 | 180
[50.89, 52.46, 50.89, 51.09, 82.64, 84.01, 82.64, 51.09] | 2 | 180
[73.20, 78.97, 31.01, 6.45, 89.99, 82.71, 86.54, 68.17] | 2 | 180
[59.74, 47.38, 43.84, 47.38, 59.74, 81.32, 84.54, 81.32] | 2 | 180
[89.99, 6.45, 31.01, 78.97, 73.20, 68.17, 86.54, 82.71] | 2 | 180
[82.64, 51.09, 50.89, 52.46, 50.89, 51.09, 82.64, 84.01] | 2 | 180
[86.54, 68.17, 73.20, 78.97, 31.01, 6.45, 89.99, 82.71] | 2 | 180
[84.54, 81.32, 59.74, 47.38, 43.84, 47.38, 59.74, 81.32] | 2 | 180
[86.54, 82.71, 89.99, 6.45, 31.01, 78.97, 73.20, 68.17] | 2 | 180
[82.64, 84.01, 82.64, 51.09, 50.89, 52.46, 50.89, 51.09] | 2 | 180
[89.99, 82.71, 86.54, 68.17, 73.20, 78.97, 31.01, 6.45] | 2 | 180
[59.74, 81.32, 84.54, 81.32, 59.74, 47.38, 43.84, 47.38] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
