# angles | wait | zero
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
[87.78, 81.71, 83.11, 41.78, 25.39, 41.78, 83.11, 81.71] | 2 | 180
[82.88, 86.63, 82.88, 57.45, 57.25, 26.45, 57.25, 57.45] | 2 | 180
[83.11, 81.71, 87.78, 81.71, 83.11, 41.78, 25.39, 41.78] | 2 | 180
[57.25, 57.45, 82.88, 86.63, 82.88, 57.45, 57.25, 26.45] | 2 | 180
[25.39, 41.78, 83.11, 81.71, 87.78, 81.71, 83.11, 41.78] | 2 | 180
[57.25, 26.45, 57.25, 57.45, 82.88, 86.63, 82.88, 57.45] | 2 | 180
[83.11, 41.78, 25.39, 41.78, 83.11, 81.71, 87.78, 81.71] | 2 | 180
[82.88, 57.45, 57.25, 26.45, 57.25, 57.45, 82.88, 86.63] | 2 | 180
[87.78, 81.71, 83.11, 41.78, 25.39, 41.78, 83.11, 81.71] | 2 | 180
[60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00, 60.00] | 2 | 180
